_id,CT,BPAD,BPAN,BPAN2,BWAD,BWAN,BWAN2,BMAD,BMAN,BMAN2,year
1,100500,1237.0,179.0,130.0,712.0,97.0,72.0,525.0,82.0,58.0,2016.0
2,101100,1080.0,97.0,65.0,583.0,48.0,33.0,497.0,49.0,32.0,2016.0
3,101400,1865.0,157.0,118.0,1033.0,76.0,57.0,832.0,81.0,61.0,2016.0
4,101600,698.0,66.0,44.0,397.0,48.0,35.0,301.0,18.0,9.0,2016.0
5,101700,928.0,87.0,65.0,555.0,54.0,44.0,373.0,33.0,21.0,2016.0
6,101800,1477.0,145.0,111.0,827.0,81.0,64.0,650.0,64.0,47.0,2016.0
7,10300,674.0,50.0,36.0,299.0,25.0,20.0,375.0,25.0,16.0,2016.0
8,110200,1930.0,121.0,85.0,1054.0,53.0,37.0,876.0,68.0,48.0,2016.0
9,110600,1477.0,79.0,61.0,813.0,43.0,35.0,664.0,36.0,26.0,2016.0
10,111300,1221.0,115.0,72.0,704.0,67.0,41.0,517.0,48.0,31.0,2016.0
11,111400,689.0,71.0,61.0,390.0,48.0,41.0,299.0,23.0,20.0,2016.0
12,111500,1548.0,203.0,145.0,909.0,133.0,95.0,639.0,70.0,50.0,2016.0
13,120300,939.0,97.0,71.0,573.0,64.0,47.0,366.0,33.0,24.0,2016.0
14,120400,453.0,56.0,38.0,273.0,35.0,25.0,180.0,21.0,13.0,2016.0
15,120700,427.0,58.0,40.0,272.0,41.0,25.0,155.0,17.0,15.0,2016.0
16,120800,529.0,53.0,38.0,315.0,35.0,27.0,214.0,18.0,11.0,2016.0
17,130100,1097.0,106.0,71.0,677.0,72.0,44.0,420.0,34.0,27.0,2016.0
18,130200,676.0,91.0,71.0,415.0,59.0,47.0,261.0,32.0,24.0,2016.0
19,130300,777.0,112.0,77.0,486.0,73.0,48.0,291.0,39.0,29.0,2016.0
20,130400,676.0,80.0,49.0,403.0,49.0,32.0,273.0,31.0,17.0,2016.0
21,130600,1976.0,196.0,130.0,1175.0,127.0,82.0,801.0,69.0,48.0,2016.0
22,140100,1303.0,45.0,32.0,662.0,16.0,14.0,641.0,29.0,18.0,2016.0
23,140200,859.0,27.0,20.0,419.0,14.0,11.0,440.0,13.0,9.0,2016.0
24,140300,1820.0,76.0,55.0,948.0,34.0,26.0,872.0,42.0,29.0,2016.0
25,140400,1385.0,47.0,33.0,719.0,19.0,14.0,666.0,28.0,19.0,2016.0
26,140500,915.0,87.0,55.0,520.0,49.0,32.0,395.0,38.0,23.0,2016.0
27,140600,1811.0,80.0,60.0,968.0,33.0,24.0,843.0,47.0,36.0,2016.0
28,140800,2534.0,120.0,89.0,1310.0,51.0,38.0,1224.0,69.0,51.0,2016.0
29,141000,544.0,24.0,15.0,304.0,15.0,8.0,240.0,9.0,7.0,2016.0
30,141100,826.0,66.0,47.0,443.0,31.0,24.0,383.0,35.0,23.0,2016.0
31,141300,2047.0,121.0,79.0,1079.0,54.0,36.0,968.0,67.0,43.0,2016.0
32,141400,2938.0,187.0,135.0,1515.0,81.0,53.0,1423.0,106.0,82.0,2016.0
33,151600,1307.0,100.0,72.0,706.0,46.0,33.0,601.0,54.0,39.0,2016.0
34,151700,2545.0,209.0,160.0,1339.0,114.0,91.0,1206.0,95.0,69.0,2016.0
35,160800,1165.0,80.0,62.0,606.0,46.0,32.0,559.0,34.0,30.0,2016.0
36,160900,999.0,95.0,68.0,537.0,52.0,35.0,462.0,43.0,33.0,2016.0
37,170200,1322.0,99.0,77.0,647.0,51.0,37.0,675.0,48.0,40.0,2016.0
38,170600,675.0,68.0,52.0,339.0,41.0,32.0,336.0,27.0,20.0,2016.0
39,180300,1254.0,101.0,83.0,735.0,65.0,53.0,519.0,36.0,30.0,2016.0
40,180700,973.0,97.0,65.0,539.0,55.0,42.0,434.0,42.0,23.0,2016.0
41,190300,863.0,76.0,61.0,491.0,37.0,28.0,372.0,39.0,33.0,2016.0
42,191100,1117.0,91.0,64.0,589.0,38.0,27.0,528.0,53.0,37.0,2016.0
43,191400,1124.0,101.0,76.0,628.0,56.0,42.0,496.0,45.0,34.0,2016.0
44,191500,924.0,88.0,75.0,487.0,46.0,43.0,437.0,42.0,32.0,2016.0
45,191600,2056.0,194.0,157.0,1086.0,100.0,85.0,970.0,94.0,72.0,2016.0
46,191700,1821.0,150.0,105.0,983.0,86.0,61.0,838.0,64.0,44.0,2016.0
47,191800,2964.0,264.0,185.0,1667.0,139.0,96.0,1297.0,125.0,89.0,2016.0
48,191900,1180.0,69.0,45.0,646.0,38.0,21.0,534.0,31.0,24.0,2016.0
49,192000,1797.0,159.0,114.0,961.0,86.0,60.0,836.0,73.0,54.0,2016.0
50,20100,3742.0,123.0,86.0,1764.0,47.0,28.0,1978.0,76.0,58.0,2016.0
51,202200,1506.0,142.0,111.0,855.0,76.0,59.0,651.0,66.0,52.0,2016.0
52,202300,1934.0,184.0,143.0,1063.0,87.0,67.0,871.0,97.0,76.0,2016.0
53,20300,401.0,19.0,12.0,194.0,6.0,5.0,207.0,13.0,7.0,2016.0
54,210700,1234.0,152.0,109.0,703.0,94.0,74.0,531.0,58.0,35.0,2016.0
55,220600,852.0,88.0,72.0,433.0,50.0,44.0,419.0,38.0,28.0,2016.0
56,240600,1318.0,135.0,74.0,678.0,62.0,30.0,640.0,73.0,44.0,2016.0
57,241200,530.0,59.0,41.0,276.0,32.0,23.0,254.0,27.0,18.0,2016.0
58,250300,646.0,49.0,48.0,350.0,30.0,29.0,296.0,19.0,19.0,2016.0
59,250700,459.0,40.0,32.0,271.0,21.0,15.0,188.0,19.0,17.0,2016.0
60,250900,707.0,70.0,53.0,413.0,32.0,26.0,294.0,38.0,27.0,2016.0
61,260200,1235.0,98.0,77.0,663.0,48.0,36.0,572.0,50.0,41.0,2016.0
62,260700,1030.0,79.0,67.0,557.0,46.0,39.0,473.0,33.0,28.0,2016.0
63,260900,1217.0,71.0,53.0,722.0,44.0,32.0,495.0,27.0,21.0,2016.0
64,261200,608.0,58.0,46.0,315.0,31.0,24.0,293.0,27.0,22.0,2016.0
65,261400,1337.0,152.0,118.0,765.0,92.0,74.0,572.0,60.0,44.0,2016.0
66,261500,933.0,104.0,83.0,516.0,52.0,44.0,417.0,52.0,39.0,2016.0
67,262000,1442.0,174.0,100.0,822.0,97.0,52.0,620.0,77.0,48.0,2016.0
68,270100,1373.0,122.0,92.0,802.0,66.0,51.0,571.0,56.0,41.0,2016.0
69,270300,1028.0,115.0,82.0,590.0,67.0,46.0,438.0,48.0,36.0,2016.0
70,270400,586.0,61.0,50.0,330.0,40.0,32.0,256.0,21.0,18.0,2016.0
71,270800,1524.0,177.0,116.0,860.0,97.0,65.0,664.0,80.0,51.0,2016.0
72,271500,1863.0,170.0,125.0,1021.0,87.0,68.0,842.0,83.0,57.0,2016.0
73,281400,1567.0,123.0,99.0,911.0,68.0,51.0,656.0,55.0,48.0,2016.0
74,281500,789.0,74.0,56.0,434.0,37.0,28.0,355.0,37.0,28.0,2016.0
75,290100,1266.0,98.0,84.0,686.0,52.0,46.0,580.0,46.0,38.0,2016.0
76,290200,2442.0,221.0,156.0,1358.0,120.0,88.0,1084.0,101.0,68.0,2016.0
77,290400,2275.0,198.0,148.0,1255.0,102.0,79.0,1020.0,96.0,69.0,2016.0
78,300100,2126.0,218.0,164.0,1212.0,141.0,103.0,914.0,77.0,61.0,2016.0
79,30500,1251.0,197.0,163.0,798.0,146.0,115.0,453.0,51.0,48.0,2016.0
80,310200,1958.0,238.0,177.0,1028.0,107.0,79.0,930.0,131.0,98.0,2016.0
81,310300,615.0,59.0,46.0,327.0,30.0,26.0,288.0,29.0,20.0,2016.0
82,320400,1080.0,109.0,82.0,598.0,55.0,40.0,482.0,54.0,42.0,2016.0
83,320600,1301.0,90.0,66.0,699.0,44.0,33.0,602.0,46.0,33.0,2016.0
84,320700,939.0,79.0,58.0,494.0,43.0,31.0,445.0,36.0,27.0,2016.0
85,401100,2832.0,324.0,214.0,1592.0,172.0,112.0,1240.0,152.0,102.0,2016.0
86,401200,1738.0,211.0,146.0,975.0,130.0,92.0,763.0,81.0,54.0,2016.0
87,401300,1567.0,175.0,118.0,846.0,100.0,66.0,721.0,75.0,52.0,2016.0
88,40200,487.0,54.0,36.0,286.0,38.0,26.0,201.0,16.0,10.0,2016.0
89,402000,1862.0,237.0,165.0,996.0,134.0,97.0,866.0,103.0,68.0,2016.0
90,403500,2402.0,271.0,185.0,1312.0,143.0,99.0,1090.0,128.0,86.0,2016.0
91,404000,884.0,100.0,79.0,472.0,52.0,41.0,412.0,48.0,38.0,2016.0
92,40500,248.0,23.0,14.0,138.0,15.0,7.0,110.0,8.0,7.0,2016.0
93,405000,731.0,75.0,43.0,375.0,30.0,18.0,356.0,45.0,25.0,2016.0
94,40600,204.0,20.0,11.0,95.0,7.0,1.0,109.0,13.0,10.0,2016.0
95,406000,1409.0,195.0,134.0,729.0,83.0,58.0,680.0,112.0,76.0,2016.0
96,407001,2891.0,273.0,193.0,1526.0,134.0,98.0,1365.0,139.0,95.0,2016.0
97,407002,3695.0,322.0,232.0,1927.0,143.0,105.0,1768.0,179.0,127.0,2016.0
